restaurant, days
"Penang Garden","Monday-Thursday 11:00am-10:00pm / Friday-Saturday 10:00am-10:30pm / Sunday 11:00am-11:00pm"
"John's Grill","Monday-Saturday 11:00am-10:00pm / Sunday 12:00pm-10:00pm"
"Quan Bac","Monday-Sunday 11:00am-10:00pm"
"Bamboo Restaurant","Monday-Saturday 11:00am-12:00am / Sunday 12:00pm-12:00am"
"Burger Bar","Monday-Thursday,Sunday 11:00am-10:00pm / Friday-Saturday 11:00am-12:00am"
"Blu Restaurant","Monday-Friday 11:30am-10:00pm / Saturday-Sunday 7:00am-3:00pm"
"Naan 'N' Curry","Monday-Sunday 11:00am-4:00am"
"Shanghai China Restaurant","Monday-Sunday 11:00am-9:30pm"
"Tres","Monday-Thursday,Sunday 11:30am-10:00pm / Friday-Saturday 11:30am-11:00pm"
"Isobune Sushi","Monday-Sunday 11:30am-9:30pm"
"Viva Pizza Restaurant","Monday-Sunday 11:00am-12:00am"
"Far East Cafe","Monday-Sunday 11:30am-10:00pm"
"Parallel 37","Monday-Sunday 11:30am-10:00pm"
"Bai Thong Thai Cuisine","Monday-Saturday 11:00am-11:00pm / Sunday 11:00am-10:00pm"
"Alhamra","Monday-Sunday 11:00am-11:00pm"
"A-1 Cafe Restaurant","Monday,Wednesday-Sunday 11:00am-10:00pm"
"Nick's Lighthouse","Monday-Sunday 11:00am-10:30pm"
"Paragon Restaurant & Bar","Monday-Friday 11:30am-10:00pm / Saturday 5:30pm-10:00pm"
"Chili Lemon Garlic","Monday-Friday 11:00am-10:00pm / Saturday-Sunday 5:00pm-10:00pm"
"Bow Hon Restaurant","Monday-Sunday 11:00am-10:30pm"
"San Dong House","Monday-Sunday 11:00am-11:00pm"
"Thai Stick Restaurant","Monday-Sunday 11:00am-1:00am"
"Cesario's","Monday-Thursday,Sunday 11:30am-10:00pm / Friday-Saturday 11:30am-10:30pm"
"Colombini Italian Cafe Bistro","Monday-Friday 12:00pm-10:00pm / Saturday-Sunday 5:00pm-10:00pm"
"Sabella & La Torre","Monday-Thursday,Sunday 10:00am-10:30pm / Friday-Saturday 10:00am-12:30am"
"Soluna Cafe and Lounge","Monday-Friday 11:30am-10:00pm / Saturday 5:00pm-10:00pm"
"Tong Palace","Monday-Friday 9:00am-9:30pm / Saturday-Sunday 9:00am-10:00pm"
"India Garden Restaurant","Monday-Sunday 10:00am-11:00pm"
"Sapporo-Ya Japanese Restaurant","Monday-Saturday 11:00am-11:00pm / Sunday 11:00am-10:30pm"
"Santorini's Mediterranean Cuisine","Monday-Sunday 8:00am-10:30pm"
"Kyoto Sushi","Monday-Thursday 11:00am-10:30pm / Friday 11:00am-11:00pm / Saturday 11:30am-11:00pm / Sunday 4:30pm-10:30pm"
"Marrakech Moroccan Restaurant","Monday-Sunday 5:30pm-2:00am"
"Parallel 37","Monday,Friday 5:00pm-6:15pm / Tuesday 12:15pm-12:15pm / Wednesday 1:15pm-5:45pm / Thursday,Saturday 10:00am-3:00pm / Sunday 6:30am-12:45pm"
"Starbelly","Monday-Wednesday 6:30am-2:00pm / Thursday,Sunday 10:45am-10:00pm / Friday 7:45am-6:30pm / Saturday 8:00am-1:00pm"
"Brass Tacks","Monday 8:00am-10:30pm / Tuesday 1:30pm-3:15am / Wednesday 7:45am-12:15pm / Thursday 1:45pm-2:15am / Friday 7:45am-1:45pm / Saturday 12:15pm-3:45pm / Sunday 5:00am-2:15am"
"Lord Stanley","Sunday-Monday,Friday 5:45pm-11:00pm / Tuesday 10:15am-10:45pm / Wednesday 11:00am-10:15pm / Thursday 11:15am-1:30am / Saturday 5:45pm-3:45am"
"Top of the Mark","Monday,Thursday 5:00pm-6:00pm / Tuesday 8:45am-4:30pm / Wednesday 11:15am-3:15am / Friday 12:30pm-10:00pm / Saturday 1:15pm-11:45pm / Sunday 5:15pm-9:45pm"
"Pier 23","Monday,Thursday 7:00am-4:00pm / Tuesday 8:15am-12:00pm / Wednesday 10:00am-11:45pm / Friday 10:45am-9:15pm / Saturday 10:30am-11:30am / Sunday 9:15am-10:30am"
"Plumed Horse","Monday 11:45am-9:15pm / Tuesday 7:45am-12:30pm / Wednesday-Thursday,Sunday 7:45am-3:45pm / Friday 7:00am-3:45am / Saturday 6:00am-3:30pm"
"Everest","Monday,Wednesday 5:30am-3:30am / Tuesday 1:30pm-4:00pm / Thursday 3:00pm-12:15pm / Friday 1:00pm-2:00pm / Saturday 7:45am-12:00pm / Sunday 11:15am-7:45pm"
"The Aviary","Monday 10:45am-5:00pm / Tuesday 7:00am-10:45pm / Wednesday 12:45pm-1:45am / Thursday 4:45pm-12:45pm / Friday 11:30am-9:45pm / Saturday 8:15am-10:15pm / Sunday 7:45am-2:00am"
"Rebar","Monday,Saturday 3:45pm-6:30pm / Tuesday-Thursday 5:15pm-10:15pm / Friday 4:30pm-9:00pm / Sunday 9:15am-2:30pm"
"Proxi","Monday 5:45pm-1:00am / Tuesday,Thursday 4:45pm-12:45pm / Wednesday,Friday 9:45am-11:15am / Saturday 7:00am-10:45am / Sunday 6:15am-1:15pm"
"The Rosebud","Monday 11:30am-4:30pm / Tuesday 12:00pm-4:45pm / Wednesday 1:30pm-1:30am / Thursday 7:00am-12:15pm / Friday 9:15am-5:15pm / Saturday 1:00pm-6:00pm / Sunday 9:45am-12:45pm"
"The Signature Room","Monday 11:30am-1:00am / Tuesday-Wednesday,Friday 5:00am-11:15am / Thursday 12:15pm-7:00pm / Saturday 5:15am-7:00pm / Sunday 3:15pm-12:15pm"
"Goosefoot","Monday,Thursday 9:30am-3:00pm / Tuesday 2:00pm-8:30pm / Wednesday,Friday 4:30pm-5:30pm / Saturday 4:15pm-9:15pm / Sunday 5:00pm-10:15pm"
"Catch 35","Monday-Tuesday 4:30pm-11:15pm / Wednesday-Thursday 10:15am-5:00pm / Friday 5:15am-8:30pm / Saturday-Sunday 10:00am-2:30am"
"Gemini","Monday-Tuesday,Thursday 5:00am-3:45am / Wednesday,Saturday 11:00am-2:45am / Friday 1:45pm-12:45pm / Sunday 1:45pm-8:45pm"
"Blue Plate","Sunday-Monday 4:15pm-9:30pm / Tuesday 10:30am-11:45am / Wednesday-Thursday 10:15am-12:00pm / Friday 10:15am-9:45pm / Saturday 5:00pm-6:00pm"
"Bones","Monday 1:30pm-11:30pm / Tuesday 11:15am-10:45pm / Wednesday,Friday 6:15am-12:30pm / Thursday,Saturday 3:00pm-6:00pm / Sunday 11:30am-1:15pm"
"Burger & Beer Joint","Monday-Tuesday 3:00pm-2:00am / Wednesday-Thursday 2:00pm-11:15pm / Friday-Saturday 5:15am-7:00am / Sunday 7:45am-9:30pm"
"Catch of the Day","Monday 10:00am-12:15pm / Tuesday 3:15pm-4:15pm / Wednesday 7:45am-2:00pm / Thursday-Friday 4:30pm-2:00am / Saturday 8:15am-1:30am / Sunday 12:15pm-10:15pm"
"CRUST","Monday-Tuesday 10:45am-11:00am / Wednesday,Saturday-Sunday 5:30pm-11:15pm / Thursday 12:15pm-1:45am / Friday 11:30am-11:00pm"
"Daily Grill","Monday-Tuesday,Thursday 7:45am-12:45pm / Wednesday 10:30am-12:00pm / Friday 9:15am-5:15pm / Saturday 8:00am-11:30am / Sunday 3:00pm-12:30pm"
"Full Moon","Monday,Thursday 1:00pm-6:15pm / Tuesday 10:30am-1:15pm / Wednesday 6:45am-7:45am / Friday-Saturday 1:15pm-4:30pm / Sunday 1:15pm-8:30pm"
"Garage Kitchen + Bar","Monday,Wednesday 4:30pm-10:30pm / Tuesday,Sunday 7:15am-1:00pm / Thursday 4:45pm-8:30pm / Friday 5:45pm-1:00am / Saturday 2:45pm-1:00am"
"Grubstake","Monday,Friday 11:45am-11:15pm / Tuesday 2:30pm-12:15pm / Wednesday 4:30pm-12:45pm / Thursday,Saturday 5:15am-2:45am / Sunday 8:45am-6:00pm"
"Harvest Beat","Monday 12:30pm-2:00pm / Tuesday 5:30pm-2:00am / Wednesday,Sunday 9:45am-3:30pm / Thursday 7:15am-3:00am / Friday 11:15am-2:15pm / Saturday 1:30pm-8:45pm"
"Hot & Crusty","Monday 10:00am-9:45pm / Tuesday 11:30am-12:30pm / Wednesday 4:00pm-8:45pm / Thursday 1:15pm-2:15pm / Friday 10:30am-3:45pm / Saturday 11:30am-1:45pm / Sunday 7:15am-3:00pm"
"King and Queen","Monday-Tuesday 11:30am-4:00pm / Wednesday 11:00am-2:00am / Thursday 11:45am-3:00pm / Friday 2:15pm-2:15am / Saturday 5:45pm-8:30pm / Sunday 9:15am-9:30pm"
"Lazy Bear","Monday 10:00am-11:00am / Tuesday-Wednesday,Friday 1:15pm-2:45pm / Thursday 12:45pm-5:15pm / Saturday 9:00am-2:30pm / Sunday 5:30pm-3:00am"
"Mad for Chicken","Monday-Tuesday,Thursday 3:30pm-7:00pm / Wednesday,Saturday-Sunday 3:45pm-3:15am / Friday 3:00pm-12:00pm"
"Nightbird","Monday,Wednesday 4:00pm-3:00am / Tuesday,Sunday 3:15pm-12:45pm / Thursday 8:45am-9:00am / Friday 9:30am-2:15am / Saturday 5:15pm-2:30am"
"Outlier","Monday 6:30am-3:15am / Tuesday,Thursday 9:30am-11:00am / Wednesday,Friday-Saturday 5:30am-11:45pm / Sunday 9:30am-7:30pm"
"Rusty Pelican","Monday 10:15am-7:30pm / Tuesday 2:15pm-10:00pm / Wednesday 11:45am-1:15pm / Thursday 9:00am-12:30pm / Friday-Saturday 5:00am-12:15pm / Sunday 6:15am-2:30am"
"Sea Spice","Monday,Wednesday,Friday 5:45pm-1:45am / Tuesday 7:15am-1:15pm / Thursday 11:00am-1:15am / Saturday 2:30pm-3:00pm / Sunday 1:15pm-10:00pm"
"Stateside","Sunday-Monday,Wednesday 5:15am-7:15am / Tuesday 5:00am-8:45am / Thursday 2:45pm-11:00pm / Friday 9:00am-7:15pm / Saturday 8:45am-11:00pm"
"The Capital Grille","Monday-Tuesday 7:45am-11:15am / Wednesday,Saturday-Sunday 2:15pm-9:15pm / Thursday 7:15am-2:15pm / Friday 8:45am-1:30am"
"The Deck","Monday,Thursday 10:15am-7:45pm / Tuesday,Sunday 3:15pm-10:30pm / Wednesday,Friday 1:45pm-4:45pm / Saturday 10:15am-12:15pm"
"The Local Eatery","Monday,Wednesday-Thursday 7:00am-3:45pm / Tuesday 10:15am-2:00pm / Friday,Sunday 4:00pm-2:00am / Saturday 5:15pm-12:15pm"
"The Red Door","Sunday-Wednesday,Friday 8:15am-10:30am / Thursday 3:15pm-12:15pm / Saturday 3:15pm-7:00pm"
"Tower 23:00 Hotel","Monday-Wednesday 5:45pm-11:30pm / Thursday 3:45pm-6:45pm / Friday 8:00am-4:15pm / Saturday 7:30am-10:00am / Sunday 4:15pm-1:30am"
"Waterbar Restaurant","Monday,Saturday 1:15pm-9:45pm / Tuesday 4:00pm-6:30pm / Wednesday-Thursday 12:30pm-10:15pm / Friday 4:00pm-2:15am / Sunday 11:30am-8:15pm"
"Wise Sons","Monday,Thursday,Saturday 2:45pm-10:45pm / Tuesday 10:45am-11:45pm / Wednesday 9:15am-1:45pm / Friday 6:45am-9:45pm / Sunday 12:45pm-10:00pm"
"5 Spot","Monday-Tuesday 2:30pm-3:15am / Wednesday 2:00pm-3:00am / Thursday,Sunday 7:30am-12:15pm / Friday 2:00pm-2:45am / Saturday 5:15am-3:45am"
"A Salt & Battery","Monday 1:45pm-7:30pm / Tuesday,Thursday 11:45am-1:30pm / Wednesday 4:00pm-9:00pm / Friday 4:30pm-9:00pm / Saturday 5:15am-8:00am / Sunday 3:00pm-7:45pm"
"Brewed Awakening","Monday,Thursday 5:30am-5:15pm / Tuesday 1:30pm-9:45pm / Wednesday,Sunday 5:15pm-10:30pm / Friday 5:00pm-2:15am / Saturday 9:15am-1:15am"
"Chart House","Monday,Friday 12:45pm-3:00pm / Tuesday-Wednesday 5:45pm-6:00pm / Thursday 12:30pm-1:00am / Saturday 12:30pm-3:30am / Sunday 12:45pm-7:45pm"
"Crest Cafe","Monday 5:15pm-6:00pm / Tuesday-Wednesday 12:15pm-8:30pm / Thursday-Friday,Sunday 5:45pm-9:30pm / Saturday 4:45pm-6:30pm"
"Double Decker","Monday,Thursday,Saturday 7:15am-8:15pm / Tuesday 2:45pm-5:45pm / Wednesday 12:15pm-2:15pm / Friday 5:00am-10:00am / Sunday 10:30am-12:00pm"
"EPIC Steak","Monday 6:00am-10:45pm / Tuesday-Thursday 10:15am-2:30pm / Friday 7:00am-10:00pm / Saturday 11:45am-2:15am / Sunday 5:30pm-6:00pm"
"Foxsister","Monday 5:00pm-12:00pm / Tuesday-Wednesday,Saturday 3:30pm-8:30pm / Thursday 5:45pm-1:15am / Friday 6:30am-8:30pm / Sunday 10:45am-2:00pm"
"Golden Era","Monday,Saturday 7:15am-7:30pm / Tuesday 1:30pm-4:15pm / Wednesday 11:45am-8:15pm / Thursday 7:15am-2:45pm / Friday,Sunday 9:45am-1:15am"
"Halls Chophouse","Monday 6:30am-11:15am / Tuesday,Thursday 7:15am-3:15pm / Wednesday,Saturday 1:15pm-7:45pm / Friday 5:45pm-7:00pm / Sunday 12:15pm-11:45pm"
"Heirloom Cafe","Monday-Tuesday,Thursday 9:15am-10:15pm / Wednesday 12:00pm-2:15pm / Friday 3:15pm-5:15pm / Saturday 12:30pm-12:00pm / Sunday 2:15pm-5:30pm"
"Lattetude","Monday,Saturday 3:45pm-10:15pm / Tuesday-Wednesday,Friday 1:30pm-12:45pm / Thursday 5:00am-4:00pm / Sunday 12:00pm-4:45pm"
"Level III Restaurant","Sunday-Tuesday,Thursday 9:30am-10:45am / Wednesday 5:15am-4:00pm / Friday 1:45pm-5:00pm / Saturday 6:30am-4:15pm"
"Mama’s Fish House","Monday 7:15am-9:30am / Tuesday 2:15pm-11:00pm / Wednesday 5:30am-6:45am / Thursday 2:30pm-7:45pm / Friday 6:45am-10:00am / Saturday 7:15am-11:00pm / Sunday 4:15pm-10:45pm"
"Nin Com Soup","Monday,Wednesday 1:30pm-10:00pm / Tuesday 6:30am-2:30am / Thursday 9:30am-9:15pm / Friday 1:15pm-8:15pm / Saturday 6:15am-3:00pm / Sunday 5:00pm-7:15pm"
"Ozone","Sunday-Monday,Thursday 2:00pm-3:30am / Tuesday 2:00pm-6:30pm / Wednesday 5:00am-3:00pm / Friday 10:30am-9:00pm / Saturday 3:00pm-11:30pm"
"Rooftoop at E11EVEN","Monday 5:15am-4:30pm / Tuesday,Sunday 12:00pm-6:00pm / Wednesday 1:00pm-3:15pm / Thursday 7:30am-11:45pm / Friday 10:00am-10:30pm / Saturday 7:15am-3:45pm"
"Skillet Counter","Monday 9:15am-2:15pm / Tuesday,Thursday 5:30pm-9:00pm / Wednesday 2:00pm-1:30am / Friday 4:15pm-1:45am / Saturday-Sunday 9:30am-8:15pm"
"Stoneburner","Monday 12:30pm-10:15pm / Tuesday-Wednesday,Friday,Sunday 11:00am-3:15pm / Thursday,Saturday 6:45am-7:30am"
"Street Taco","Monday 5:45am-1:30am / Tuesday 5:45am-11:00am / Wednesday,Friday 9:00am-3:30pm / Thursday,Sunday 5:00pm-6:45pm / Saturday 7:00am-3:45pm"
"The Egg & Us","Monday 9:30am-3:15pm / Tuesday 1:45pm-5:15pm / Wednesday-Thursday,Sunday 2:00pm-8:00pm / Friday 9:30am-11:15pm / Saturday 3:45pm-7:15pm"
"The Incredible Cafe","Monday 6:45am-2:00pm / Tuesday 8:30am-3:15am / Wednesday 3:30pm-2:00am / Thursday 7:45am-8:15am / Friday 7:15am-2:15pm / Saturday 1:45pm-2:45am / Sunday 1:15pm-9:45pm"
"The River Seafood","Monday,Thursday 8:15am-10:15am / Tuesday,Saturday-Sunday 1:15pm-2:45am / Wednesday 9:30am-12:45pm / Friday 10:45am-3:30am"
"Townsend","Monday,Friday 6:45am-3:00am / Tuesday 6:15am-3:45pm / Wednesday 5:00am-2:00am / Thursday 3:45pm-2:00am / Saturday 4:00pm-12:30pm / Sunday 11:00am-12:45pm"
"Upland","Monday,Thursday 3:30pm-1:00am / Tuesday,Saturday-Sunday 6:30am-6:45pm / Wednesday 9:00am-2:30pm / Friday 6:15am-10:15am"
"Urban Remedy","Monday 12:15pm-11:45pm / Tuesday 11:45am-12:00pm / Wednesday-Thursday 9:45am-1:15pm / Friday 6:30am-11:00pm / Saturday 4:00pm-6:45pm / Sunday 11:00am-3:45pm"
"Zero Restaurant","Monday-Tuesday 1:45pm-5:00pm / Wednesday 9:15am-8:30pm / Thursday-Friday 11:30am-9:45pm / Saturday 9:15am-5:45pm / Sunday 5:45am-7:45am"
"750 Restaurant","Monday 10:00am-7:45pm / Tuesday-Wednesday 3:45pm-5:00pm / Thursday 1:15pm-7:45pm / Friday 5:15am-4:45pm / Saturday 12:15pm-9:15pm / Sunday 1:15pm-8:00pm"
"Bean Around the World Coffees","Monday,Wednesday 6:00am-11:15am / Tuesday 5:00pm-8:45pm / Thursday,Saturday 8:00am-8:00pm / Friday 3:15pm-1:45am / Sunday 10:30am-12:15pm"
"Blackbrick","Monday 5:15am-9:15pm / Tuesday,Thursday,Saturday 5:45am-6:15am / Wednesday 4:30pm-10:30pm / Friday,Sunday 12:30pm-2:45pm"
"Cafe Coyote","Monday 6:15am-1:00pm / Tuesday 12:00pm-5:00pm / Wednesday 7:15am-1:15pm / Thursday 7:15am-8:45am / Friday 11:30am-11:15pm / Saturday 12:45pm-8:15pm / Sunday 2:45pm-3:00am"
"Chewy Balls","Monday 5:00pm-12:15pm / Tuesday-Wednesday 11:00am-9:30pm / Thursday-Friday 5:45am-10:45am / Saturday 3:00pm-9:15pm / Sunday 10:30am-2:30pm"
"Crab Hut","Monday 5:30pm-6:30pm / Tuesday-Wednesday,Friday-Saturday 11:15am-9:15pm / Thursday 10:15am-10:15pm / Sunday 6:00am-3:45pm"
"Double Knot","Monday,Friday 5:15am-6:30am / Tuesday 11:30am-1:00pm / Wednesday 2:45pm-11:15pm / Thursday,Sunday 1:30pm-6:30pm / Saturday 5:15am-4:45pm"
"Famous Lunch","Monday-Tuesday,Saturday 3:30pm-7:45pm / Wednesday 5:15pm-12:30pm / Thursday 2:00pm-3:30pm / Friday 5:45am-10:15pm / Sunday 12:15pm-10:15pm"
"Fog Harbor Fish House","Monday 10:15am-3:45am / Tuesday 5:45pm-11:15pm / Wednesday 5:30am-10:15am / Thursday 11:30am-3:30am / Friday,Sunday 9:30am-4:00pm / Saturday 12:15pm-3:30am"
"Gaslamp Fish House","Monday 3:45pm-3:15am / Tuesday 8:15am-7:30pm / Wednesday-Thursday 5:30pm-7:00pm / Friday 1:30pm-11:15pm / Saturday 11:45am-6:30pm / Sunday 5:15pm-7:30pm"
"Hereford Grill","Monday-Tuesday,Thursday 10:15am-9:00pm / Wednesday 12:00pm-2:15pm / Friday,Sunday 9:00am-6:15pm / Saturday 12:45pm-1:00am"
"Hungry’s Kitchen & Tap","Monday,Thursday-Friday 5:15pm-12:00pm / Tuesday 5:15am-5:45pm / Wednesday 12:30pm-3:30pm / Saturday 1:00pm-11:45pm / Sunday 7:45am-4:45pm"
"King Lee’s","Monday,Friday 5:45am-4:15pm / Tuesday,Saturday 10:00am-11:15pm / Wednesday 6:00am-8:45am / Thursday 7:00am-5:00pm / Sunday 5:30pm-6:30pm"
"Like No Udder","Monday,Wednesday 3:30pm-6:45pm / Tuesday 10:30am-3:45pm / Thursday-Friday 1:30pm-4:45pm / Saturday 2:45pm-3:00pm / Sunday 5:30am-2:00pm"
"Marina Kitchen","Monday-Tuesday,Thursday 7:45am-3:45pm / Wednesday,Sunday 5:30pm-3:30am / Friday 5:00pm-1:30am / Saturday 6:30am-2:30pm"
"Munch Box","Monday,Wednesday 8:30am-11:00pm / Tuesday,Thursday 3:00pm-10:30pm / Friday 9:30am-4:45pm / Saturday 3:30pm-9:30pm / Sunday 8:45am-10:15pm"
"My Dung","Monday 3:15pm-3:45am / Tuesday 2:00pm-3:45pm / Wednesday 12:00pm-7:00pm / Thursday 10:15am-7:45pm / Friday 2:00pm-7:45pm / Saturday 3:15pm-12:45pm / Sunday 4:45pm-11:45pm"
"North Beach Restaurant","Monday,Friday 9:30am-12:15pm / Tuesday,Sunday 5:30am-5:30pm / Wednesday 1:00pm-9:30pm / Thursday 2:15pm-10:30pm / Saturday 8:30am-6:45pm"
"Opera Cafe","Monday 6:00am-4:45pm / Tuesday,Saturday 9:30am-7:45pm / Wednesday 7:15am-12:15pm / Thursday,Sunday 7:30am-8:45am / Friday 11:15am-9:15pm"
"Queenstown Public House","Monday,Wednesday 2:15pm-3:15am / Tuesday 8:30am-7:30pm / Thursday 5:15am-7:30am / Friday 9:15am-2:00am / Saturday-Sunday 11:15am-6:45pm"
"Rocco’s Cafe","Monday,Saturday 5:15pm-2:30am / Tuesday 10:45am-3:00am / Wednesday-Thursday 8:45am-10:00pm / Friday 9:45am-11:45pm / Sunday 5:30pm-7:45pm"
"Six Seven Restaurant","Monday-Tuesday 12:45pm-12:15pm / Wednesday,Saturday 11:30am-7:45pm / Thursday,Sunday 1:00pm-11:30pm / Friday 8:30am-12:15pm"
"Stomach Clinic Railways Restaurant","Monday 3:15pm-10:30pm / Tuesday,Friday 9:00am-1:00pm / Wednesday 3:00pm-11:45pm / Thursday 8:00am-11:30am / Saturday 4:00pm-7:15pm / Sunday 3:15pm-12:30pm"
"The Fishery","Monday-Tuesday 12:45pm-1:00pm / Wednesday 4:45pm-5:30pm / Thursday,Saturday 4:00pm-5:15pm / Friday 2:15pm-6:30pm / Sunday 2:15pm-12:15pm"
"The Local House","Monday-Tuesday 10:15am-1:00pm / Wednesday 6:15am-7:30pm / Thursday 12:45pm-10:00pm / Friday-Saturday 9:15am-1:15am / Sunday 7:00am-4:15pm"
"The Table at Season To Taste","Monday 8:00am-11:45pm / Tuesday 7:45am-7:45pm / Wednesday 10:00am-12:00pm / Thursday 5:15am-5:45pm / Friday 5:45pm-2:45am / Saturday 12:30pm-6:15pm / Sunday 11:00am-5:45pm"
"True Food Kitchen","Monday-Tuesday,Saturday 11:15am-1:15am / Wednesday 5:15pm-1:30am / Thursday,Sunday 2:15pm-4:45pm / Friday 5:30pm-2:00am"
"Zero Zero","Monday-Tuesday 5:45pm-8:45pm / Wednesday,Saturday 9:00am-11:00am / Thursday 8:45am-11:15am / Friday 3:45pm-8:45pm / Sunday 11:30am-1:15am"
"Award Wieners","Monday 1:45pm-11:00pm / Tuesday,Saturday-Sunday 6:45am-9:30am / Wednesday 9:15am-4:30pm / Thursday 12:00pm-2:15pm / Friday 8:00am-11:30pm"
"Beaver Choice","Monday-Wednesday 5:15pm-8:00pm / Thursday 6:45am-10:00am / Friday 10:00am-8:00pm / Saturday 1:30pm-4:45pm / Sunday 6:30am-8:30pm"
"Blue Collar","Monday-Wednesday 4:00pm-7:15pm / Thursday 12:45pm-2:30am / Friday-Saturday 11:15am-7:00pm / Sunday 1:45pm-1:30am"
"Butty Boys","Monday-Tuesday 4:00pm-11:45pm / Wednesday 12:00pm-5:30pm / Thursday 5:00pm-11:00pm / Friday 2:15pm-8:15pm / Saturday 3:45pm-12:30pm / Sunday 11:45am-1:45pm"
"California Pizza Kitchen","Sunday-Monday 12:00pm-1:45pm / Tuesday 5:30am-11:15am / Wednesday,Saturday 12:30pm-5:15pm / Thursday 5:45am-9:30pm / Friday 4:45pm-3:00am"
"Chez Billy Sud","Monday 5:00pm-11:00pm / Tuesday-Thursday 5:15pm-12:00pm / Friday-Saturday 1:15pm-4:00pm / Sunday 7:15am-3:45pm"
"Conch it Up Soul Food","Monday 4:45pm-10:15pm / Tuesday 4:30pm-3:15am / Wednesday,Saturday 4:15pm-12:30pm / Thursday-Friday 12:30pm-11:15pm / Sunday 5:45pm-11:15pm"
"Filled of Dreams","Monday 1:30pm-12:30pm / Tuesday-Wednesday 2:15pm-5:30pm / Thursday-Friday 5:30pm-8:00pm / Saturday 11:45am-7:45pm / Sunday 4:30pm-2:15am"
"Fishing With Dynamite","Monday-Tuesday 6:30am-7:15am / Wednesday,Friday 6:45am-7:30am / Thursday 8:45am-1:00am / Saturday 9:45am-5:00pm / Sunday 4:45pm-5:00pm"
"Golden Greek","Monday-Tuesday 4:30pm-8:00pm / Wednesday 8:00am-10:30pm / Thursday 1:30pm-2:15am / Friday 4:00pm-12:30pm / Saturday 12:45pm-12:00pm / Sunday 11:15am-3:15pm"
"Heritage Restaurant & Caviar Bar","Sunday-Monday,Friday 5:45am-10:45pm / Tuesday-Wednesday 7:00am-12:30pm / Thursday 12:00pm-5:30pm / Saturday 4:00pm-11:00pm"
"Indigo Grill","Monday-Tuesday 12:00pm-3:00pm / Wednesday 3:45pm-11:15pm / Thursday 12:45pm-8:00pm / Friday 7:45am-6:00pm / Saturday 11:45am-2:30pm / Sunday 4:30pm-8:00pm"
"Kinship","Monday 2:15pm-1:15am / Tuesday 8:15am-8:15pm / Wednesday 6:45am-7:00am / Thursday 1:00pm-6:15pm / Friday,Sunday 3:30pm-4:00pm / Saturday 2:45pm-10:15pm"
"Le Parfait","Monday 2:30pm-3:30pm / Tuesday-Wednesday 6:45am-7:45pm / Thursday 12:15pm-1:45am / Friday-Sunday 5:00pm-3:15am"
"Little Star Pizza","Monday 8:15am-10:45am / Tuesday-Wednesday 1:00pm-4:45pm / Thursday 8:30am-12:45pm / Friday 10:15am-7:45pm / Saturday 11:30am-10:30pm / Sunday 5:15am-8:30am"
"Market Restaurant and Bar","Sunday-Tuesday 10:30am-1:30am / Wednesday-Thursday 8:45am-4:00pm / Friday 2:30pm-5:00pm / Saturday 9:45am-11:45am"
"Momofuku Ko","Monday 7:30am-1:15pm / Tuesday 1:00pm-7:15pm / Wednesday 3:45pm-3:15am / Thursday 2:00pm-6:15pm / Friday-Saturday 9:15am-10:30am / Sunday 2:45pm-3:15pm"
